"SYMBOL","LPS_logFC","LPS_adjP","LPS_regulation","Sepsis_logFC","Sepsis_adjP","Sepsis_regulation","LPS_sig","Sepsis_sig","both_sig","same_direction","overlap_class"
"NEMP2",1.16736409175983,0.00342465189951972,"Up",-0.614786941686501,3.61810097573155e-11,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"TCTN2",-1.08825572473236,0.00343864442461099,"Down",-0.864496754738567,3.46039718682835e-13,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"KIFC1",-2.37284535533294,0.00348629818834075,"Down",0.809877019369123,4.57712863257592e-06,"Up",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"IFT172",-1.55873016182978,0.00350728069111916,"Down",-0.860367740055514,1.10226469262713e-18,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"FLT3LG",1.51661616796236,0.00350974943839957,"Up",-0.826272588946582,1.54174134119959e-10,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"PHF21A",1.75304919273692,0.00351032612317257,"Up",0.629471214231528,1.65050939838602e-15,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"RIPK3",1.01652889853761,0.00351032612317257,"Up",0.669827179779441,1.87820850206988e-18,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"SOCS1",3.6620104555705,0.00352387273255067,"Up",0.665063075005202,3.22068049561113e-06,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"SPC24",-3.38731692857038,0.00353294955386076,"Down",0.873336970002453,3.48688557448818e-08,"Up",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"ZNF835",-2.62172064184057,0.00353294955386076,"Down",-0.781032640801886,1.58404411433417e-10,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"COTL1",-2.18185388125959,0.00353599049261422,"Down",0.532327017855274,8.37189546985862e-10,"Up",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"CARNMT1",-1.63044543624041,0.0035436162909056,"Down",-0.618717514738535,4.20426164468712e-10,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"FTH1",1.08608478567167,0.0035665126468324,"Up",0.798171985339794,7.94423292371065e-11,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"TOMM40L",-1.42174390057408,0.00357450417141938,"Down",0.653897361889159,1.32647939131889e-15,"Up",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"METTL9",1.12329279374979,0.00357574337550845,"Up",1.45040169074095,6.93463677921381e-19,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"BNC2",-3.38958277282246,0.00359031979165565,"Down",-0.926306455143907,1.301800601574e-09,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"CDK5",-1.23567674106348,0.00359031979165565,"Down",0.78985294260704,1.04199854079739e-13,"Up",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"GSDMD",1.95275379069758,0.0035917568055312,"Up",0.553173561327899,1.58743875103223e-10,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"ADAT2",-2.92730583593535,0.0035918291593021,"Down",-0.824485043348737,2.03258356637458e-13,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"TUBGCP5",-1.58045499788746,0.00360001465921151,"Down",-0.85015944056513,8.19133895595886e-16,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
