"SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulation"
"TYSND1",-0.696675904934652,11.7492057582307,-11.7176782617546,9.42562717400545e-19,2.24010295324786e-17,32.2236916347613,"Down"
"SUPT4H1",0.685132977796937,14.2604090769314,11.7172288921766,9.44353476100595e-19,2.24158464790602e-17,32.2218055179499,"Up"
"NMNAT2",1.43983353252946,6.61078417987408,11.7162279431807,9.48354617178523e-19,2.24796533435453e-17,32.2176042060572,"Up"
"TSG101",0.568551798990095,13.40468090717,11.7158134073374,9.50016651025426e-19,2.24796533435453e-17,32.2158642313879,"Up"
"SERPINA1",1.10739073103116,18.4623540382715,11.7156796696149,9.50553482005872e-19,2.24796533435453e-17,32.2153028761157,"Up"
"AC005261.1",-0.801388663789792,10.1655075373141,-11.7148173086269,9.54022384979375e-19,2.25339383256567e-17,32.2116831266231,"Down"
"FCGR2A",0.977918401961941,17.7658081266074,11.7077750973594,9.82831015439956e-19,2.31653002591254e-17,32.182120546078,"Up"
"EFNB1",-0.7311158899712,9.9990641377634,-11.7076946511324,9.83165115408385e-19,2.31653002591254e-17,32.1817828091976,"Down"
"PGLYRP1",1.76169823647729,13.8841672178922,11.70697300077,9.8616730452954e-19,2.32075621922558e-17,32.178753078066,"Up"
"SYNE2",-0.927266534382797,13.5269935132753,-11.7019274897008,1.00741674736516e-18,2.36694067634647e-17,32.1575687648903,"Down"
"KIF3A",-0.901980197138921,9.95634788897816,-11.7017299952057,1.00825781036891e-18,2.36694067634647e-17,32.1567395000121,"Down"
"NAT10",-0.842327413379618,12.137079966598,-11.6968705251018,1.02917668317705e-18,2.40722044422034e-17,32.1363336262076,"Down"
"DYNC2H1",-0.833476258218662,7.43412780951926,-11.6957968084616,1.03385736305602e-18,2.41522663537285e-17,32.1318245371874,"Down"
"SH3YL1",-0.971523558749494,11.0667384204954,-11.6909619202446,1.05520097815163e-18,2.46209287769693e-17,32.1115188239125,"Down"
"JTB",0.664758065902937,14.6463827638409,11.6864523334239,1.07550794920221e-18,2.50642950831675e-17,32.0925770685344,"Up"
"TRAF4",-0.795082765959824,10.4718295365757,-11.6843389257611,1.08515961160569e-18,2.52585697232292e-17,32.0836993098394,"Down"
"RORA",-1.36928293819399,12.4118090174312,-11.6827440484206,1.09250086038316e-18,2.53954312161052e-17,32.0769994175376,"Down"
"CAMK4",-1.46151924033783,11.943874690602,-11.6824879345082,1.0936844042972e-18,2.53954312161052e-17,32.0759234877731,"Down"
"AL121768.1",-1.04390551835894,8.08808238559237,-11.6813077763952,1.09915479373947e-18,2.5491629835965e-17,32.0709655750801,"Down"
"NIPA1",-0.878642180487418,10.2359035656336,-11.6787430484154,1.11113818111941e-18,2.57384638022148e-17,32.0601904914073,"Down"
"COX6B2",1.68789551533787,6.29921704874643,11.6774556893344,1.11720266812344e-18,2.58328801702777e-17,32.0547816992873,"Up"
"ITGA7",2.65175550709944,10.1992094129801,11.6773071232717,1.11790467226479e-18,2.58328801702777e-17,32.0541574930246,"Up"
"SLC51A",2.50717602776133,9.89680742384684,11.6763881495299,1.1222568781812e-18,2.59022822496558e-17,32.0502963357115,"Up"
"GPR174",-1.49897062083442,8.88888606799228,-11.6750615405288,1.12856970217728e-18,2.60167154752824e-17,32.0447223004308,"Down"
"TXLNG",-0.625599538027169,11.0249327441849,-11.6707557309307,1.14930659369042e-18,2.64312988247152e-17,32.0266292150223,"Down"
"CA5B",-0.622541651316684,11.8287962788702,-11.6638350192712,1.18344317715327e-18,2.71838030273616e-17,31.9975441269447,"Down"
"TAF10",0.690868027921721,13.9780237355456,11.6631476111975,1.18688903454323e-18,2.72303824735169e-17,31.9946549368559,"Up"
"ILK",0.59808724054147,14.7476420690291,11.6608140124788,1.19866242953785e-18,2.74676785613549e-17,31.9848463989071,"Up"
"MROH6",1.38806506691041,11.9187535650332,11.6595110990531,1.20528688085481e-18,2.75865601585875e-17,31.9793697657877,"Up"
"SYTL2",-1.36314839790965,10.7329646832208,-11.6577617732913,1.21423899898532e-18,2.77325840789343e-17,31.9720164104371,"Down"
"ITPR3",-1.2387391166984,12.3492861518437,-11.6577002251818,1.21455518462655e-18,2.77325840789343e-17,31.9717576847621,"Down"
"PIGL",-0.838862202954886,10.264146009544,-11.657338770447,1.21641372612534e-18,2.77420341838302e-17,31.9702382535174,"Down"
"USP11",-0.789638174826458,12.1225443474154,-11.6532711001435,1.23752732971363e-18,2.81900798487436e-17,31.9531382104819,"Down"
